"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
106,"Dr. Kustra State of the University","Boise State University President Dr. Robert Kustra delivers the State of the University Address.","2005-08-17","University Television Productions","FloA","University Television Productions",12/20/2017 11:44:23,"University President","planning","RG 58, Box 40, UTP20050817"
107,"Dr. Kustra Spring Update","Boise State University President Dr. Robert Kustra delivers the State of the University Address.","2006-01-11","University Television Productions","hTYU","University Television Productions",12/20/2017 11:26:17,"University President","leadership; planning","RG 58, Box 40, UTP20060111a"
108,"Dr. Kustra State of the University","Boise State University President Dr. Robert Kustra delivers the State of the University Address.","2006-08-16","University Television Productions","r3do","University Television Productions",12/20/2017 11:46:25,"University President","planning","RG 58, Box 41, UTP20060816"
109,"Dr. Kustra State of the University","Boise State University President Dr. Robert Kustra delivers the State of the University Address.","2007-08-22","University Television Productions","o7u6","University Television Productions",12/20/2017 12:05:32,"University President","planning","RG 58, Box 51, UTP20070822"
110,"Dr. Kustra State of the University","Boise State University President Dr. Robert Kustra delivers the State of the University Address.","2008-08-20","University Television Productions","JGFm","University Television Productions",12/20/2017 12:10:01,"University President","planning","RG 58, Box 55, UTP20080820"
111,"MLK Celebration: Keynote Speakers","Boise State University Martin Luther King Jr. Human Rights Week Keynote Address with Danny Glover and Bill Fletcher.","2003-01-22","University Television Productions","OXiB","University Television Productions",12/20/2017 12:12:09,"Martin Luther King Jr. Idaho Human Right Celebration","civil liberties","RG 58, Box 35, UTP20030122"
112,"MLK Celebration: Naomi Tutu","Boise State University Martin Luther King Jr. Human Rights Celebration presents Ms. Naomi Tutu.","2004-01-23","University Television Productions","u2Vh","University Television Productions",12/20/2017 12:15:57,"Martin Luther King Jr. Idaho Human Right Celebration","civil liberties","RG 58, Box 36, UTP20040123"
113,"Trusky and Shipman","Women's History Month programming featuring Tom Trusky's work on Nell Shipman and the new book ""The Silent Screen and My Talking Heart.""","1995-03-23","Tom Trusky","FJSg","University Television Productions",12/20/2017 12:17:52,"English","performing arts","RG 58, Box 21, UTP19950323"
114,"Noodles Spoken Word","University Television Productions Presents Noodles Spoken Word. Speakers: Tom Trusky about James Castle, Janet Holmes, Alison Heguee.","2000","Tom Trusky","iOOW","University Television Productions",12/20/2017 12:19:15,"English","performing arts","RG 58, Box 28, UTP20000000B"
115,"Cherie Bucker and the MLK Jr. Community Choir","Treasure Valley Public Access Television presents St. Paul Baptist Church, Cherie Buckner and the Martin Luther King Jr. Community Gospel Choir.","2002-01-20","University Television Productions","ShIf","University Television Productions",12/20/2017 12:22:06,"Martin Luther King Jr. Idaho Human Right Celebration","holidays","RG 58, Box 31, UTP20020120"
116,"Martin Luther King Jr. Celebration Dinner","Boise State University Black Student Alliance hosts the Martin Luther King Jr. Celebration Dinner, featuring ""The OG and the B-Boy.""","2003-01-15","University Television Productions","TiFM","University Television Productions",12/20/2017 12:22:45,"Martin Luther King Jr. Idaho Human Right Celebration","holidays","RG 58, Box 35, UTP20030115"
117,"MLK Celebration: Martin Luther King III","Boise State University Martin Luther King Jr. Human Rights Celebration presents Martin Luther King III.","2005-01-21","University Television Productions","O0lW","University Television Productions",12/20/2017 12:25:39,"Martin Luther King Jr. Idaho Human Right","civil liberties","RG 58, Box 40, UTP20050121b"
119,"""The Right to Dream"" MLK Human Rights Celebration Week","Boise State University Martin Luther King Jr. Human Rights Celebration presents the St. Paul Baptist Choir and poet Nikki Giovanni","2008-01-24","University Television Productions","Io0w","University Television Productions",12/20/2017 12:27:03,"Martin Luther King Jr. Idaho Human Right Celebration","civil liberties","RG 58, Box 57, UTP20080124"
